DIVISION_NUM,Division Name,SVP,AVP,Location Name,Online Code,State,Location Description,Year,Adjusted COGS,Sales,Regular GM,Total GM
1,BCU,Debra Kesner,Bob Crowson,"ABC - BILLINGS, #409",BILLMTYD,MT,Billings MT Yard,1/1/17,772506.99,983192.89,210685.9,210685.9
1,BCU,Debra Kesner,Bob Crowson,"BUTTE DC, #423",BUTEMTDC,MT,Butte MT DC,1/1/17,70508.02,82301.99,11793.97,16677.53
1,BCU,Debra Kesner,Bob Crowson,"ABC - GREAT FALLS, #434",GRFAMTYD,MT,Great Falls MT Yard,1/1/17,1229098.7,1626265.17,397166.47,397166.47
1,BCU,Debra Kesner,Bob Crowson,"ABC - HAVRE, MT, #436",HAVRMTYD,MT,Havre MT Yard,1/1/17,275724.9,366483.73,90758.83,90758.83
1,BCU,Debra Kesner,Bob Crowson,"ABC - CODY, WY, #922",CODYWYYD,WY,Cody WY Yard,1/1/17,361054.54,521097.66,160043.12,160043.12
1,BCU,Debra Kesner,Bob Crowson,"ABC - BUTTE, #422",BUTEMTYD,MT,Butte MT Yard,1/1/17,308309.1,397593.45,89284.35,89272.8
1,BCU,Debra Kesner,Bob Crowson,"ABC - HELENA, MT, #437",HELEMTYD,MT,Helena MT Yard,1/1/17,594431.46,769858.26,175426.8,175426.8
1,BCU,Debra Kesner,Bob Crowson,"ABC - CASPER, WY, #920",CASPWYYD,WY,Casper WY Yard,1/1/17,105167,126854.24,21687.24,21687.24
1,BCU,Debra Kesner,Bob Crowson,"ABC - KALISPELL, #445",KALIMTYD,MT,Kalispell MT Yard,1/1/17,751969.75,970264.07,218294.32,218294.32
1,BCU,Karen Keller,Art Karsky,"ABC - MADISON, MN, #359 [Closed:06/16/2018]",MADIMNYD,MN,Madison MN Yard,1/1/17,78853.33,102049.98,23196.65,23196.65
1,BCU,Karen Keller,Art Karsky,"ABC - OSAKIS, #367 [Closed:05/12/2018]",OSAKMNYD,MN,Osakis MN Yard,1/1/17,375709.93,460228.76,84518.83,84518.83
1,BCU,Karen Keller,Art Karsky,"ABC - COKATO, #323 [Closed:06/16/2018]",COKAMNYD,MN,Cokato MN Yard,1/1/17,251257.75,307583.67,56325.92,56325.92
1,BCU,Karen Keller,Art Karsky,"ABC - MONTEVIDEO, #364 [Closed:06/16/2018]",MONTMNYD,MN,Montevideo MN Yard,1/1/17,129897.67,164285.65,34387.98,34387.98
1,BCU,Karen Keller,Art Karsky,"ABC - BRAINERD, #318 [Closed:05/12/2018]",BRAIMNYD,MN,Brainerd MN Yard,1/1/17,595670.4,744178.09,148507.69,148436.78
1,BCU,Karen Keller,Art Karsky,"ABC - PEQUOT LAKES, #368 [Closed:06/30/2018]",PEQUMNYD,MN,Pequot Lakes MN Yard,1/1/17,1188351.75,1474727.83,286376.08,286482.13
1,BCU,Karen Keller,Art Karsky,"ABC - BEMIDJI, #315 [Closed:03/24/2018]",BEMIMNYD,MN,Bemidji MN Yard,1/1/17,212110.95,271479.08,59368.13,59368.13
